%
@relation Meier500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
-0.72127,-0.5029,-0.4694,-0.14219,-0.53629,-0.19744,0.55641,-0.17388,0.12003,0.50074,0.57677,0.40222,2.3433,-1.8761,0.2941,-1.9515,2.2291,-2.4944,-2.0441,-3.098,-3.0017,-1.7697,-2.1359,0.91966,-1.2369,-0.87047,-0.53353,1
-0.85357,-0.68929,-0.77504,-0.68684,-0.80276,-0.69498,-1.1596,-0.8881,-1.3,-1.1851,-1.2053,-1.094,-0.97751,2.3644,-1.1901,1.3204,-1.3612,0.72092,0.22072,0.63716,1.2375,2.4542,1.6837,-0.26072,0.8855,-0.55372,-0.6286,5
-0.7524,-0.69373,-0.70396,-0.68883,-0.72138,-0.69498,-1.1318,-0.88682,-1.007,-1.1824,-1.1257,-1.0933,-0.14387,0.21694,-1.0811,-0.74817,-0.46186,-0.28721,-1.0843,-0.69384,-0.27841,0.23005,0.41868,0.90632,-0.90278,-0.64197,-0.48705,5
-0.59285,-0.6671,-0.62435,-0.65891,-0.62405,-0.66521,0.80572,0.93085,0.63269,0.36025,0.59076,0.80209,-0.7549,2.3528,-1.1128,1.1786,-1.3882,0.46719,0.33912,0.55198,1.0978,2.4968,1.739,-0.30487,0.94239,-0.73804,-0.62804,4
-0.72127,-0.5029,-0.4694,-0.14219,-0.53629,-0.19744,0.55641,-0.17388,0.12003,0.50074,0.57677,0.40222,2.3433,-1.8761,0.2941,-1.9515,2.2291,-2.4944,-2.0441,-3.098,-3.0017,-1.7697,-2.1359,0.91966,-1.2369,-0.87047,-0.53353,1
-0.23096,-0.60497,-0.19362,-0.40354,-0.21556,-0.46747,-0.17534,-0.2471,0.8402,0.16742,0.44226,-0.15178,-0.63471,-0.36398,-0.039275,-0.56431,-0.3544,0.081915,-0.45832,0.2465,0.51821,-0.70355,-0.096558,0.94495,-0.90697,-0.67977,-0.51533,3
-0.75629,-0.69817,-0.68975,-0.67088,-0.71341,-0.68435,1.1104,0.16782,1.007,0.83957,1.3387,0.90314,-0.72644,0.53216,-0.70142,0.0068667,-0.67467,0.76587,-0.43257,0.30225,0.76153,0.52327,0.7423,1.101,-1.2432,-0.7834,-0.75195,1
-0.1006,-0.18339,-0.61583,-0.51726,-0.53948,-0.41432,2.666,3.4512,0.99888,1.0875,1.683,2.7156,-0.6738,-1.3893,2.3225,0.65784,0.79911,0.29748,2.7464,2.432,0.42535,-1.6328,-1.2261,-2.0958,2.1241,1.3102,-0.011431,3
-0.88859,-0.69817,-0.80774,-0.69083,-0.83787,-0.69711,-1.1633,-0.88746,-1.3203,-1.1879,-1.2096,-1.0947,-1.0925,3.2752,-0.85756,2.5179,-2.2793,0.82612,1.4527,1.6893,1.7648,2.1131,1.7868,-0.16382,0.9073,-0.61903,-0.76357,5
-0.62398,-0.56947,-0.51632,-0.62698,-0.55863,-0.61418,-0.80003,-0.74166,-0.6571,-0.80775,-0.69413,-0.79592,-0.71482,-0.95391,1.5516,0.034068,0.42621,0.26298,1.4479,1.7068,0.61342,-1.0562,-0.57098,-0.23359,0.79162,-0.86878,-0.5586,1
