@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.008865,0.008341,0.009163,0.009164,0.015806,0.004920,0.008938,0.007066,1997.000000,0.847978,0.867884,0.587008,1.000000,209.137080,0.568306,71.952470,38.137068,-34.735979,0.615799,0.863762,0.705015,1.330653,0.872911,2.845008,4.932955,0.976921,1.218137,0.745301,0.727647,-0.293687,0.592563,0.131797,0.142140,0.066909,1.527303,0.607478,2.004965,0.614169,8.579702,6.245854,2.294216,3.069720,0.723941,1.178314,-0.168736,0.657780,0.052230,0.296366,0.586100,0.922985,0.758538,1.900605,0.865506,3.078922,6.721239,1.088349,1.370574,0.788331,0.756200,-0.320269,0.639337,0.046336,0.116067,0.596168,1.323113,0.555450,1.305574,0.855379,2.853774,4.565882,1.019533,1.291683,1.133765,0.811680,-0.199846,0.508645,0.243163,0.321537,0.563879,1.303413,0.666261,1.933951,0.846808,3.103116,6.505935,1.131300,1.450878,1.101535,0.841487,-0.248584,0.583269,0.138548,0.222706,4
0.009772,0.007674,0.012969,0.012105,0.015503,0.004519,0.007387,0.006638,857.000000,0.691654,0.982798,0.747167,1.000000,109.154330,0.887539,38.951555,28.131956,27.371285,0.512167,1.036649,0.571678,0.454406,0.841427,2.764398,2.834544,1.104458,1.340320,0.859016,0.841585,-0.189020,0.532019,0.120389,0.149323,0.064229,2.850785,0.461362,2.690680,0.538664,11.256545,7.732614,2.257258,3.165993,1.349840,1.417220,-0.126207,0.589623,0.024701,0.354426,0.297583,2.338097,0.653774,3.277789,0.727583,3.975436,11.141424,1.724934,2.247812,1.695379,1.222993,-0.174750,0.595845,0.151473,0.059934,0.495275,1.481534,0.358685,0.326638,0.820507,2.742898,2.389864,1.104167,1.354909,1.215665,0.933589,-0.108243,0.424717,0.184290,0.234656,0.281786,2.889878,0.570630,3.191470,0.702023,3.957357,10.516926,1.744469,2.285858,2.054033,1.304517,-0.132098,0.531860,0.018507,0.489707,4
0.011676,0.009136,0.011487,0.010219,0.010672,0.002233,0.006103,0.004045,685.000000,0.691426,0.975783,0.764509,1.000000,98.426407,0.870757,34.914334,25.223755,-30.284012,0.328523,0.990017,0.789413,2.159534,0.802604,3.695508,8.211777,1.627101,1.975167,0.752340,0.930594,-0.362124,0.775977,0.182290,0.319150,0.060423,2.377704,0.471091,2.182879,0.561955,10.860233,6.609417,2.290572,3.215730,1.153386,1.334228,-0.119155,0.578825,0.115246,0.120983,0.387377,1.181230,0.775775,2.604687,0.808789,3.746926,9.308769,1.561463,1.936128,0.925698,0.946395,-0.370435,0.775858,0.073129,0.074016,0.282929,1.950459,0.596655,2.078660,0.733596,3.752294,7.452403,1.700178,2.154246,1.403673,1.173075,-0.246139,0.692349,0.974046,0.521878,0.359909,1.984786,0.638657,2.681070,0.766295,3.806362,8.915478,1.608521,2.053399,1.508438,1.109873,-0.294496,0.730075,0.352840,0.504043,4
0.008747,0.007166,0.008839,0.008801,0.015902,0.012420,0.007590,0.009807,1150.000000,0.836998,0.817342,0.570437,0.000000,160.610170,0.553312,56.120740,30.709609,-26.307744,0.508501,1.102823,0.484874,0.980745,0.841703,2.838710,3.153421,1.138050,1.438103,0.918408,0.848459,-0.191791,0.525314,0.857541,0.834664,0.136068,2.224798,0.639084,3.074516,0.683269,4.698589,10.103708,2.065705,2.739687,1.464457,1.278611,-0.198794,0.674055,0.657370,0.717931,0.545331,1.264062,0.627245,1.639018,0.847262,3.028966,5.509434,1.151321,1.468350,1.069084,0.840783,-0.229817,0.566593,0.270433,0.525629,0.460933,1.540691,0.265802,0.854326,0.803364,2.847269,2.611010,1.189463,1.544997,1.232462,0.986635,-0.087800,0.376943,1.210279,0.442701,0.508852,1.765224,0.485911,1.610772,0.817120,3.054206,5.084707,1.213471,1.572039,1.453183,0.959356,-0.142802,0.468446,0.337909,0.370665,4
0.016770,0.010922,0.011564,0.008719,0.010789,0.002489,0.005357,0.003981,700.000000,0.588732,0.957592,0.686275,1.000000,100.568540,0.852687,33.498766,27.077990,23.029531,0.150897,2.060557,0.645255,2.731097,0.676233,4.725041,9.403939,2.098239,2.771294,1.310958,1.279449,-0.249107,0.746278,0.999164,0.691702,0.075498,2.405892,0.362687,1.864787,0.568530,9.842880,5.143890,2.168553,3.088580,1.181809,1.368817,-0.080603,0.478328,0.058623,0.236732,0.284485,1.192511,0.668458,1.780355,0.775812,3.605377,5.996937,1.671880,2.115801,0.877015,1.014577,-0.263724,0.691318,0.503261,0.153559,0.136174,2.998198,0.473083,2.434984,0.623410,4.691892,7.975340,2.089287,2.831997,1.805970,1.430719,-0.191422,0.687411,1.463207,1.251768,0.246315,1.893886,0.488995,1.828480,0.715650,3.668519,5.511141,1.721425,2.266793,1.308610,1.199492,-0.178895,0.603872,0.679420,0.672486,4
0.004133,0.000100,0.004123,0.000110,0.009109,0.001722,0.004892,0.003198,774.000000,0.805518,0.971142,0.670130,1.000000,107.396970,0.827783,41.208924,24.419228,47.923127,0.046682,3.285501,0.063314,1.698392,0.462937,9.584454,3.710730,2.069750,3.343547,1.251999,1.464812,-0.022877,0.273833,0.002991,0.006471,0.048474,2.983557,0.267158,2.117423,0.494452,9.853513,5.156419,2.212079,3.347379,1.253291,1.397109,-0.074170,0.477186,0.176519,0.144020,0.097548,1.529911,0.121233,0.889441,0.605304,6.913801,1.947822,1.747422,2.655711,0.701750,1.170727,-0.013214,0.186938,0.002095,0.005776,0.048013,3.253756,0.077356,1.668814,0.471586,9.621035,3.737855,2.068736,3.331932,1.273135,1.465573,-0.025997,0.291344,0.000561,0.006326,0.097726,1.500747,0.138079,0.893953,0.603019,6.927327,1.968835,1.753066,2.648604,0.673724,1.155542,-0.015692,0.203586,0.001387,0.002890,1
0.005485,0.003515,0.005082,0.002734,0.015899,0.010078,0.008599,0.009317,2045.000000,0.743518,0.808620,0.629231,1.000000,262.651800,0.369693,68.609874,45.880483,79.313110,0.726376,0.344769,0.695383,0.554756,0.929384,2.449381,1.917854,0.702218,0.829665,0.314956,0.467739,-0.399308,0.583866,0.053335,0.037930,0.085520,1.266029,0.825797,3.638829,0.673238,5.642857,13.268962,2.343424,3.022090,0.695486,1.125054,-0.291417,0.802080,0.112676,0.315952,0.755865,0.238314,0.630306,0.322537,0.939402,2.309961,1.050932,0.600042,0.713505,0.218831,0.412421,-0.307951,0.478766,0.075245,0.033784,0.734314,0.481965,0.572379,0.510999,0.921310,2.430970,1.758917,0.677844,0.816632,0.439593,0.513209,-0.353881,0.546668,0.064708,0.056896,0.737887,0.332652,0.501650,0.334290,0.928288,2.321299,1.002353,0.628579,0.762606,0.302950,0.472841,-0.238270,0.432796,0.128879,0.100858,3
0.004531,0.001094,0.005352,0.002801,0.009045,0.001774,0.005042,0.003345,682.000000,0.833172,0.920378,0.640977,1.000000,106.568540,0.740668,40.546237,22.422623,69.957775,0.462421,0.867958,0.515313,1.030993,0.827056,2.720070,1.842414,1.125853,1.344590,0.684930,0.863434,-0.141788,0.489031,0.045531,0.040739,0.039433,2.968310,0.402673,2.488085,0.518462,10.253521,6.967417,2.372088,3.502253,1.361486,1.426049,-0.094861,0.543201,0.156975,0.143116,0.668883,0.435644,0.400395,0.389260,0.913321,2.381188,1.010636,0.742536,0.894306,0.391377,0.542292,-0.201663,0.443257,0.195637,0.060359,0.436157,1.253036,0.346336,1.138947,0.786666,2.698381,1.510240,1.130561,1.315532,0.947635,1.001005,-0.055530,0.330479,0.058284,0.020339,0.659715,0.536716,0.259946,0.416139,0.904448,2.367156,0.893234,0.742097,0.896748,0.478962,0.587805,-0.121840,0.360742,0.211401,0.154274,3
0.010869,0.006017,0.008138,0.004889,0.009945,0.001997,0.005267,0.003597,618.000000,0.852817,0.970173,0.635802,1.000000,99.154329,0.774210,38.982413,20.356981,-60.820623,0.152908,1.935547,0.488421,1.926743,0.667283,4.154297,5.607052,1.924173,2.596565,1.200375,1.250449,-0.171821,0.626489,0.458186,0.114452,0.064789,3.416016,0.274230,2.350704,0.486592,11.037109,5.996670,2.169408,3.155706,1.476742,1.470913,-0.091691,0.513118,0.215273,0.025590,0.317897,1.264937,0.454991,1.159289,0.764331,3.186482,3.376812,1.469912,1.938031,0.915147,1.046371,-0.131960,0.490349,0.241508,0.153283,0.140289,2.851351,0.289769,2.052877,0.647163,4.265766,5.114053,1.923758,2.667864,1.833252,1.375699,-0.162240,0.622137,1.920214,1.233235,0.279405,1.696154,0.298937,1.209525,0.727533,3.247436,3.142622,1.515341,2.048309,1.188041,1.155078,-0.083627,0.405009,1.072333,0.450616,3
0.007108,0.004326,0.006226,0.003483,0.010681,0.002499,0.005536,0.004112,575.000000,0.891954,0.945724,0.608466,1.000000,98.325902,0.732407,40.646015,18.377145,29.903218,0.329148,1.601215,0.625033,1.747873,0.749344,3.722672,6.487867,1.618914,1.999212,1.157669,1.106868,-0.334471,0.771096,0.112155,0.204290,0.050665,2.886640,0.392110,2.313122,0.527780,10.380567,6.604157,2.314347,3.376397,1.341802,1.417371,-0.105209,0.560697,0.101035,0.092133,0.343873,1.106481,0.592818,1.354493,0.800470,3.320767,4.322373,1.498087,1.897138,0.851830,0.951200,-0.270885,0.675097,0.198161,0.146660,0.280584,2.703620,0.402651,1.771688,0.700344,3.794118,5.819603,1.693405,2.151564,1.896875,1.292802,-0.216959,0.681043,0.450845,0.262728,0.315750,1.539052,0.445979,1.357304,0.770305,3.346583,3.996338,1.535430,2.005765,1.159891,1.066035,-0.186456,0.592213,0.465079,0.275569,3
