%
@relation Huotari500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
-0.87745,-0.91101,-0.54299,-0.37638,-1.9362,-1.0246,-1.3443,-1.6152,-1.7272,-1.5035,0.19527,-1.0778,0.040894,-1.022,0.90176,-1.0397,-0.95948,-0.61042,-0.73405,-0.9965,-0.72723,-0.4263,0.1951,-1.1684,2.6057,2
1.2379,-0.75626,0.93086,0.019478,-0.75193,-0.77974,-0.26622,0.58734,-0.51479,-0.75449,-0.86497,1.1765,0.13822,0.40951,-0.91824,0.38584,0.28947,0.72838,0.91303,1.3742,1.3107,0.16297,0.45883,-0.90097,-0.34532,3
0.35626,-0.48826,0.40322,-0.128,0.12577,-0.21308,2.4461,4.5502,1.2799,-0.082481,-0.77579,2.3701,-1.0461,0.030815,-1.2806,0.050131,-0.17945,0.47455,0.85528,2.9427,1.9364,1.1916,-0.52082,-0.37905,0.05155,1
-1.1637,-1.9906,-1.1909,-1.401,-0.61598,-0.79656,-1.2397,-0.76516,-0.79839,-0.62704,-0.9441,0.19852,0.9632,0.7602,-0.70381,1.0514,0.7836,1.0997,1.0784,-0.099391,0.53797,-0.32189,0.85426,-1.309,-1.2569,1
-0.053069,-1.1035,-0.48846,-0.91196,-1.0934,-1.1406,0.45049,-0.1452,-0.2634,-1.2132,-0.057949,0.9244,-2.2488,-0.89202,-0.33433,-1.1976,-1.053,-0.70074,-0.40817,1.6804,0.95199,1.9393,-1.9664,-0.13242,1.7704,1
-1.4986,-0.20139,-1.3304,-0.85568,-1.5034,-1.6731,-0.48729,1.2709,-1.7646,-1.6025,-0.81567,0.62623,0.19181,0.16323,-1.2944,1.125,-0.063564,0.65602,0.75704,-0.057524,0.6608,0.42784,0.24262,-1.1604,-1.0988,1
2.068,-0.43164,1.3767,-0.14934,-0.05831,-0.046617,1.191,0.72275,1.0345,-0.060856,0.023696,-1.2473,0.49879,-0.91853,1.1545,-0.81469,-0.82807,-0.39367,-0.62308,-1.1601,-1.0098,-1.0525,0.6285,1.0059,-0.18626,1
0.15589,-0.14099,-0.75949,-1.0711,-1.1734,-0.96046,-1.0851,-1.2301,-1.1651,-1.0694,0.34389,-0.33097,-1.7911,-1.2702,0.49273,-1.3308,-1.2359,-1.0542,-0.92312,0.14462,-0.11751,1.6787,-1.7678,0.76888,0.064391,1
-1.1293,-1.4923,-1.2374,-1.2768,-0.64547,-1.1187,2.5899,1.5711,0.48202,-1.1241,0.6634,-0.085624,-2.2013,-1.1907,0.18271,-1.5501,-1.258,-1.3265,-1.0526,0.32293,0.28407,2.1609,-2.5371,-0.1127,-0.031474,1
-0.15612,1.0669,-0.37299,-0.3007,-0.48892,0.10474,-1.6533,-1.2089,-0.89585,-0.13065,0.53542,-1.3454,0.41965,-1.0395,1.228,0.15686,-0.93406,-0.49424,-0.79147,-1.3082,-1.2357,-0.86158,0.43924,-0.4263,-0.90502,1
0.084327,-0.084373,1.3158,2.0085,-0.41932,0.086212,-0.6109,-0.96909,-0.46507,-0.1585,-0.93947,0.51725,1.0353,1.1594,-0.82974,0.25917,1.2214,1.0598,1.0823,0.3209,0.82138,-0.41121,0.90758,0.12168,0.60396,2
0.10436,1.5349,0.82501,2.4043,2.1134,2.7918,-0.12834,0.25125,0.45497,2.1609,-0.64922,1.9246,0.83043,1.9471,-1.3672,-0.10772,1.837,0.8896,0.89211,2.0425,1.6982,-0.7431,1.0817,-1.3698,-0.3856,1
-1.1007,-0.92989,-1.316,-1.3893,-0.31004,-0.55998,-0.788,-0.73579,-0.16555,-0.35246,-0.28759,-0.69236,0.15569,-0.7405,0.44879,0.29568,-0.70672,-0.009231,-0.13781,-0.59085,-0.38564,-0.21584,0.32885,-1.3304,-0.92699,1
0.73696,1.7614,1.4761,1.9444,0.71683,2.0658,-1.5867,-0.96094,-0.18225,1.4571,1.2005,-0.85818,-0.63024,-1.1095,1.3646,-1.0823,-1.1055,-1.154,-1.3049,-0.23452,-0.87026,-0.081311,-0.30552,-0.24876,4.3115,3
0.58525,0.82154,0.49303,0.1883,0.16589,-0.017828,0.079656,2.6251,0.40406,0.18423,-0.12604,-0.9033,0.19944,-0.92592,0.8858,-0.57716,-0.80824,-0.28885,-0.50371,-0.65346,-0.70493,-0.80816,0.57159,0.88755,1.1904,1
1.3467,-0.44296,-0.10677,-1.2962,2.5095,1.2486,2.2631,0.50087,2.4856,1.8556,0.44858,-0.46487,-2.263,-1.2919,0.1888,-0.68272,-1.3501,-1.058,-0.85459,-0.38123,-0.13893,1.9385,-2.1042,-1.2508,0.55001,1
-0.97477,-0.68076,0.023136,0.8209,-1.085,-0.34078,-0.88546,-1.2383,-1.1011,-0.73614,-0.94832,2.2216,0.33929,1.2283,-1.486,0.17008,1.1487,1.0077,1.2763,2.3575,1.9269,0.29503,0.4677,0.9465,0.67011,2
-2.0625,-1.0318,-1.2855,-0.24443,-0.77318,1.2751,-1.0388,-1.0637,-1.1289,0.28219,-0.48671,-0.41651,1.1947,0.56126,0.2101,-0.25323,0.61168,0.4381,0.26897,-0.28585,0.071736,-1.2828,1.142,0.26978,-0.80192,1
-1.0063,0.67055,-1.0562,-0.66357,-1.4462,-0.81509,-1.6747,-1.39,-1.5617,-1.1129,0.2007,-0.43342,-1.2267,-1.1118,0.49151,-0.30334,-1.1299,-0.63688,-0.6391,-0.056074,-0.186,0.84181,-0.7502,0.21759,0.80985,1
3.5679,1.8935,2.0519,0.31055,0.68518,0.79682,-0.50869,-0.65911,0.12204,0.73861,-0.5197,0.12243,-0.11317,-0.50126,-0.4956,1.27,-0.45591,0.26857,0.40471,0.010014,0.41854,0.68523,-0.15048,-1.3651,-0.35854,1
1.0862,1.5425,2.3486,2.4626,-1.2771,-1.3589,-1.2813,-0.6738,-1.3219,-1.2679,-1.1904,1.9576,1.0681,2.9018,-1.9904,2.3542,2.559,1.6616,1.8543,1.1449,1.6161,-0.07268,0.93301,0.21569,-0.086803,2
0.59384,-0.027753,0.85548,0.77045,-0.91476,-0.61926,-0.2579,-1.0262,-0.7256,-0.8233,-0.92861,0.81453,0.84099,1.0743,-0.89087,0.37078,1.0684,1.0224,1.1064,0.7639,1.0956,-0.27704,0.82889,-0.52596,-0.55751,2
0.12154,0.86683,-0.4644,-0.2716,0.30617,1.3438,1.0376,0.124,0.31933,0.76318,-0.28259,-1.3968,1.8884,0.77268,1.5666,-0.21587,1.1106,0.47292,-0.2198,-1.1977,-1.6387,-3.5932,1.8638,-0.77829,-1.1562,3
-1.1265,-0.77135,-1.4138,-1.2283,-0.91238,-0.51494,-0.72976,-1.036,-0.9213,-0.73975,4.0312,-1.7636,-0.88557,-1.5737,2.2817,-1.9797,-1.4866,-2.8303,-2.6953,-1.6352,-2.2693,0.80626,-1.8846,-0.31179,-1.4164,1
-0.20764,-0.17874,-0.44035,-0.67716,-1.8254,-0.65689,-0.4136,0.77007,-1.7606,-1.3203,-0.88514,-1.009,1.8443,1.569,0.35027,2.3368,1.9151,1.4628,0.893,-1.289,-0.6913,-2.3623,1.7697,-1.3879,-1.4302,1
1.3724,2.3956,2.3053,3.0952,0.23852,1.6368,-0.61685,-0.47149,-0.37676,0.90145,-0.67015,-0.46986,1.6954,1.9719,0.027307,0.93128,2.173,1.0742,0.78218,-0.55823,-0.0016828,-1.5099,1.4188,0.16118,-0.51823,3
-1.3011,-0.065499,-1.0097,-0.5452,-0.29053,0.33391,-0.62873,-0.98541,0.1642,0.15474,1.2739,-1.5294,-0.47709,-1.4099,1.8359,-1.5475,-1.3273,-1.6087,-1.7139,-1.3416,-1.6872,-0.22313,-0.48886,0.064842,0.40889,1
-0.80016,-0.87327,-1.2791,-1.3136,-0.41694,-1.0902,1.292,0.021216,-0.25902,-0.90193,0.72603,-0.023292,-1.9528,-1.2081,0.36915,-1.5386,-1.1969,-1.2993,-1.0816,0.61467,0.28341,1.9109,-2.1413,-0.65737,-0.20948,1
0.13871,-0.98651,0.27011,0.089336,-1.0882,-1.0086,0.62402,-1.0017,-0.78765,-1.224,-1.0217,2.7778,0.29039,1.6264,-1.7774,0.41725,1.3938,1.1065,1.4561,2.8205,2.182,0.3413,0.48722,0.2795,0.94266,2
0.061428,-0.13722,1.0383,1.1333,1.2144,-0.17745,2.5222,4.2712,1.6312,0.52957,-0.46231,-0.40847,0.16363,-0.54794,0.162,-0.43967,-0.54234,0.076042,0.014998,-0.30575,-0.022738,0.012317,0.23132,4.2504,1.0556,2
1.9306,-0.26933,-0.095541,-1.1797,-1.2669,-1.4542,0.58718,0.84512,-1.6699,-1.5966,-0.31572,1.4925,0.25019,0.82097,-1.1041,-0.82831,-0.015091,-0.054936,-0.038615,1.6651,1.5145,0.75859,-0.16919,-0.96844,-0.2774,1
1.1262,1.5198,1.5098,1.2129,0.01129,0.26123,-1.6545,-0.85979,-0.60946,0.21863,-0.58805,-0.010997,0.28674,-0.049169,-0.32915,1.7161,-0.27529,0.39129,0.39984,-0.063507,0.39223,0.15497,0.3416,-0.71456,-0.40921,3
-0.30782,-1.1488,-0.61034,-0.78971,-0.39157,-0.80198,0.69415,-0.18925,-0.36602,-0.7119,-0.48608,1.932,-1.6569,-0.3766,-1.0008,-0.84804,-0.62386,-0.12153,0.26341,2.6067,1.7049,1.6341,-1.2864,0.065828,0.81451,1
0.77703,0.89325,1.5146,1.8106,3.6411,2.0539,1.6961,0.8908,3.2843,2.9761,-0.77538,-0.14327,0.90563,0.21577,-0.35153,0.34873,0.37694,0.65913,0.58405,-0.32388,0.21926,-0.60083,0.86412,0.075547,0.27626,2
-0.46812,-1.8056,-1.1941,-1.8046,-4.3156,-2.7619,-2.8977,-2.8355,-4.3751,-3.6866,1.8768,-0.83882,-1.5997,-1.4137,1.2338,-0.78946,-1.338,-1.5626,-1.5751,-0.26156,-1.0944,1.224,-1.5762,-1.4588,-0.6241,4
-0.64845,-1.2583,-0.63761,-0.91972,-0.83432,-1.0329,-0.61209,-0.66074,-0.75981,-0.92323,-1.1394,1.8784,0.55961,1.5989,-1.9692,1.6036,1.257,1.3257,1.6314,1.0604,1.5259,0.52056,0.42598,-1.4056,-0.69548,1
0.31618,0.15343,0.95491,0.80926,-0.33519,-0.17745,0.16167,0.52861,0.059988,-0.23287,-0.39655,-0.12752,-0.46381,-0.69374,0.069991,-0.35143,-0.75789,-0.10896,-0.065178,0.14201,0.21724,0.32831,-0.032592,1.9717,-0.8191,2
-1.7247,-0.46183,-1.13,-0.36086,0.47616,2.6684,-1.223,-0.8761,-0.40421,1.5918,-1.0185,0.048243,1.3451,1.3517,-0.93414,2.075,1.5459,1.38,1.2356,-0.62036,0.1036,-1.0465,1.3245,-0.066572,-1.155,3
0.55949,-0.25046,-0.18214,-0.77418,-0.73718,-1.1018,-0.48967,-0.078305,-0.34892,-0.86229,0.15502,-0.42151,0.26554,-0.55869,0.64991,-0.93773,-0.47998,-0.30987,-0.44277,0.094348,-0.090026,-0.36998,0.3147,-0.52955,0.61182,1
-0.33931,-1.0884,-0.64082,-0.94689,0.26562,-0.48644,1.601,0.54329,0.54328,-0.2083,-0.64957,1.3547,-0.87486,-0.19093,-1.0671,-0.31661,-0.4224,0.22225,0.54848,1.5052,1.3756,1.3249,-0.76901,-0.33982,-0.036888,1
3.8656,4.5886,3.7743,3.1262,-1.7944,-1.1631,-0.88428,-1.6086,-1.2757,-1.5281,1.8756,-1.8831,0.1474,-1.4619,2.1343,-1.6964,-1.3454,-1.8016,-1.9123,-1.9448,-2.2836,-0.85335,-0.2284,3.3531,1.5603,2
0.29328,-0.86949,0.056815,-0.58207,0.30248,0.043741,-0.84149,-0.2333,-0.2801,0.21732,-1.1045,1.7535,0.42806,1.0527,-1.8356,2.6447,1.0069,1.2544,1.6023,1.0583,1.4993,0.67363,0.25026,-1.2516,-0.55732,1
1.6873,-0.47693,3.0478,3.0253,-1.9945,-1.4325,-0.74759,-1.4504,-1.7284,-1.8243,-1.0369,1.6286,0.93322,1.9793,-1.3127,0.56329,1.9554,1.2863,1.456,1.6251,1.5728,-0.16416,0.8624,0.71438,2.831,2
