@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.007853,0.006965,0.00853,0.008728,0.008457,0.010101,0.006984,0.006928,0.002267,0.00231,0.008728,5.287533,5.437535,0.000938,0.006928,5.577891,0.007752,0.000685,0.017853,1.26833,1.130831,0.00631,0.017853,6
0.007488,0.007036,0.00856,0.008896,0.008039,0.008866,0.007057,0.006134,0.001265,0.00144,0.008804,6.773714,6.875084,0.000881,0.006134,6.969463,0.008804,0.000833,0.013092,1.759396,1.482719,0.006715,0.013092,6
0.006793,0.00595,0.007797,0.00827,0.008112,0.010113,0.006063,0.006088,0.002423,0.002777,0.00827,5.837701,6.027171,0.000858,0.006088,6.227719,0.006653,0.000561,0.016327,1.318822,1.20911,0.00545,0.016327,6
0.00722,0.006639,0.008881,0.008881,0.007796,0.008711,0.006955,0.005707,0.001195,0.00145,0.008881,7.954493,8.127909,0.000832,0.0056,8.289578,0.008576,0.000655,0.011002,1.650065,1.49456,0.00668,0.011002,5
0.007579,0.006979,0.009354,0.009491,0.007945,0.0085,0.007292,0.006577,0.000971,0.001134,0.009491,8.145503,8.314983,0.000699,0.006577,8.493279,0.009491,0.000527,0.010636,1.905074,1.72047,0.007082,0.010636,5
0.007474,0.006765,0.008469,0.008545,0.008241,0.009849,0.006809,0.005859,0.001588,0.002038,0.008545,8.360136,8.582524,0.001009,0.005859,8.784493,0.007843,0.000922,0.012634,1.292775,1.053819,0.006306,0.012634,5
0.005812,0.005441,0.006546,0.006775,0.006958,0.008186,0.005506,0.005005,0.002084,0.002093,0.00676,4.58465,4.707978,0.000452,0.005005,4.839747,0.005875,0.000359,0.014969,1.357794,1.133272,0.005242,0.014969,6
0.005328,0.005159,0.005722,0.005753,0.00579,0.006248,0.005175,0.004929,0.000799,0.000829,0.005753,5.116297,5.222131,0.000238,0.004929,5.326638,0.0056,0.000205,0.009476,1.432273,1.172183,0.005043,0.009476,7
0.00511,0.004872,0.005966,0.005966,0.005505,0.006103,0.004934,0.004471,0.000963,0.000958,0.005966,4.848558,4.976146,0.000375,0.004471,5.121675,0.005249,0.000311,0.009613,1.098482,0.843153,0.004797,0.009613,7
0.005336,0.004991,0.005859,0.006012,0.0058,0.006634,0.005025,0.004791,0.001353,0.001289,0.005859,4.098306,4.188406,0.000357,0.004791,4.27475,0.005417,0.000299,0.011994,1.100618,0.88571,0.004785,0.011994,7
