@relation HK2.arff-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute CLASS {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
0.000463,0.000031,0.000567,0.000158,0.000554,0.000125,0.000277,0.000022,0.000402,0.000165,0.004162,0.083556,0.061542,0.205566,0.048716,0.508535,0.761787,0.188375,0.242009,0.035848,0.077356,-0.02195,0.062043,0.000761,0.000756,HitMain2
0.000394,0.000028,0.000463,0.00011,0.000484,0.000118,0.000233,0.000019,0.000341,0.000149,0.003731,0.060656,0.056025,0.224883,0.044413,0.44943,0.813543,0.164272,0.202602,0.030303,0.064358,-0.02324,0.056112,0.000052,0.001082,HitMain2
0.000463,0.000031,0.000567,0.000158,0.000554,0.000125,0.000277,0.000022,0.000402,0.000165,0.004162,0.083556,0.061542,0.205566,0.048716,0.508535,0.761787,0.188375,0.242009,0.035848,0.077356,-0.02195,0.062043,0.000761,0.000756,HitMain2
0.000413,0.000047,0.000516,0.000149,0.0004,0.000096,0.000218,0.000012,0.000309,0.000115,0.004399,0.033891,0.057039,0.219139,0.046941,0.451824,0.822726,0.156941,0.181644,0.018768,0.049102,-0.027942,0.056207,0.000959,0.000175,HitMain2
0.000366,0.000029,0.000411,0.00007,0.000379,0.000055,0.000238,0.000014,0.000308,0.000082,0.004908,0.062554,0.058528,0.227465,0.048034,0.463956,0.800933,0.170305,0.207247,0.034121,0.068103,-0.02471,0.058928,0.000471,0.000462,HitMain2
0.000425,0.00003,0.000435,0.000028,0.000563,0.000151,0.000297,0.000023,0.000429,0.000173,0.00474,0.085061,0.062916,0.170069,0.052897,0.668461,0.629745,0.194512,0.251361,0.038647,0.082139,-0.020747,0.062886,0.000272,0.000166,WildType
0.000395,0.000044,0.00047,0.000115,0.000396,0.000072,0.00023,0.000017,0.000308,0.000099,0.003362,0.040558,0.055033,0.214463,0.043935,0.485617,0.802535,0.15856,0.188758,0.020445,0.051566,-0.025593,0.054772,0.00047,0.00069,HitMain2
0.000484,0.000053,0.000557,0.000103,0.000559,0.000128,0.000271,0.000022,0.000425,0.000174,0.007554,0.03581,0.065831,0.198375,0.058051,0.542093,0.761546,0.171884,0.197366,0.02357,0.057164,-0.034403,0.06542,0.000992,0.000724,WildType
0.00044,0.000073,0.000522,0.000119,0.000536,0.000125,0.000256,0.000019,0.000415,0.00017,0.004554,0.049035,0.059683,0.212839,0.048735,0.501417,0.784482,0.170836,0.204247,0.025797,0.060636,-0.026684,0.059578,0.000662,0.00006,HitMain2
0.000449,0.000022,0.000452,0.00002,0.00059,0.000168,0.000307,0.000016,0.000438,0.000184,0.00578,0.092952,0.064483,0.171958,0.057991,0.695125,0.586314,0.203492,0.267013,0.043662,0.090258,-0.019505,0.064291,0.000096,0.000395,NO_TET
0.000397,0.000046,0.00053,0.000191,0.000513,0.000136,0.000251,0.000016,0.000379,0.000164,0.005746,0.041512,0.064009,0.211097,0.054565,0.491079,0.789401,0.176335,0.204649,0.024798,0.059708,-0.03196,0.064146,0.000797,0.000926,HitMain2
0.000299,0.000023,0.000353,0.000068,0.000333,0.000065,0.000183,0.000011,0.000263,0.00009,0.002909,0.031792,0.047739,0.218539,0.037933,0.485132,0.814627,0.13575,0.158893,0.016562,0.042519,-0.023434,0.047179,0.000499,0.000066,HitMain1
0.000457,0.000009,0.000457,0.000008,0.000541,0.00008,0.000348,0.000023,0.000447,0.000115,0.006341,0.210291,0.008843,0.11294,0.050249,0.859329,0.252866,0.1817,0.287096,0.083919,0.123367,-0.001006,0.016964,0.000086,0.00016,NO_TET
0.000441,0.00001,0.000442,0.000009,0.000805,0.000398,0.000331,0.000025,0.000527,0.000351,0.004648,0.249855,0.012296,0.146543,0.045281,0.810812,0.327293,0.187558,0.296349,0.097949,0.127297,-0.001831,0.023095,0.000124,0.000208,NO_TET
