@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.008865,0.008341,0.008120,0.008164,0.015806,0.004920,0.007293,0.006655,1997.000000,0.847978,0.867884,0.587008,1.000000,209.137080,0.568306,71.952470,38.137068,-34.735979,0.615799,0.863762,0.705015,1.330653,0.872911,2.845008,4.932955,0.976921,1.218137,0.745301,0.727647,-0.293687,0.592563,0.131797,0.142140,0.066909,1.527303,0.607478,2.004965,0.614169,8.579702,6.245854,2.294216,3.069720,0.723941,1.178314,-0.168736,0.657780,0.052230,0.296366,0.660078,0.725453,0.756920,1.493017,0.892880,2.829213,5.243290,0.910704,1.134052,0.640823,0.642907,-0.331782,0.604441,0.030732,0.039414,0.596168,1.323113,0.555450,1.305574,0.855379,2.853774,4.565882,1.019533,1.291683,1.133765,0.811680,-0.199846,0.508645,0.243163,0.321537,0.638359,1.026406,0.664462,1.534798,0.876487,2.851805,5.091205,0.953602,1.207150,0.897596,0.721601,-0.259033,0.552074,0.143137,0.241365,4
0.009772,0.007674,0.009862,0.010103,0.015503,0.004519,0.005114,0.005540,857.000000,0.691654,0.982798,0.747167,1.000000,109.154330,0.887539,38.951555,28.131956,27.371285,0.512167,1.036649,0.571678,0.454406,0.841427,2.764398,2.834544,1.104458,1.340320,0.859016,0.841585,-0.189020,0.532019,0.120389,0.149323,0.064229,2.850785,0.461362,2.690680,0.538664,11.256545,7.732614,2.257258,3.165993,1.349840,1.417220,-0.126207,0.589623,0.024701,0.354426,0.469018,1.569599,0.654191,2.269098,0.815254,3.241904,7.508181,1.305346,1.655921,1.278917,0.957522,-0.196072,0.550573,0.144420,0.062188,0.495275,1.481534,0.358685,0.326638,0.820507,2.742898,2.389864,1.104167,1.354909,1.215665,0.933589,-0.108243,0.424717,0.184290,0.234656,0.434820,2.103000,0.549450,2.333179,0.786112,3.282500,7.232194,1.365630,1.747258,1.672664,1.066786,-0.137826,0.478286,0.171037,0.726841,4
0.011676,0.009136,0.009599,0.008789,0.010672,0.002233,0.004857,0.003719,685.000000,0.691426,0.975783,0.764509,1.000000,98.426407,0.870757,34.914334,25.223755,-30.284012,0.328523,0.990017,0.789413,2.159534,0.802604,3.695508,8.211777,1.627101,1.975167,0.752340,0.930594,-0.362124,0.775977,0.182290,0.319150,0.060423,2.377704,0.471091,2.182879,0.561955,10.860233,6.609417,2.290572,3.215730,1.153386,1.334228,-0.119155,0.578825,0.115246,0.120983,0.521947,0.799160,0.787784,1.849598,0.862722,3.175630,6.706129,1.223474,1.489968,0.672806,0.758106,-0.381127,0.722567,0.109663,0.022486,0.282929,1.950459,0.596655,2.078660,0.733596,3.752294,7.452403,1.700178,2.154246,1.403673,1.173075,-0.246139,0.692349,0.974046,0.521878,0.503944,1.314108,0.663044,1.885838,0.836053,3.203194,6.437860,1.253024,1.564077,1.090439,0.877158,-0.311354,0.682035,0.182465,0.367382,4
0.008747,0.007166,0.008130,0.008233,0.015902,0.012420,0.006090,0.008633,1150.000000,0.836998,0.817342,0.570437,0.000000,160.610170,0.553312,56.120740,30.709609,-26.307744,0.508501,1.102823,0.484874,0.980745,0.841703,2.838710,3.153421,1.138050,1.438103,0.918408,0.848459,-0.191791,0.525314,0.857541,0.834664,0.136068,2.224798,0.639084,3.074516,0.683269,4.698589,10.103708,2.065705,2.739687,1.464457,1.278611,-0.198794,0.674055,0.657370,0.717931,0.594924,1.137419,0.619594,1.495698,0.867386,2.885564,4.842542,1.038084,1.315631,0.986815,0.763683,-0.242854,0.553732,0.172563,0.466081,0.460933,1.540691,0.265802,0.854326,0.803364,2.847269,2.611010,1.189463,1.544997,1.232462,0.986635,-0.087800,0.376943,1.210279,0.442701,0.557741,1.646751,0.467091,1.547078,0.839101,2.916853,4.533291,1.101647,1.417546,1.395131,0.882976,-0.151647,0.457946,0.125889,0.425002,4
0.016770,0.010922,0.009218,0.007565,0.010789,0.002489,0.004078,0.003302,700.000000,0.588732,0.957592,0.686275,1.000000,100.568540,0.852687,33.498766,27.077990,23.029531,0.150897,2.060557,0.645255,2.731097,0.676233,4.725041,9.403939,2.098239,2.771294,1.310958,1.279449,-0.249107,0.746278,0.999164,0.691702,0.075498,2.405892,0.362687,1.864787,0.568530,9.842880,5.143890,2.168553,3.088580,1.181809,1.368817,-0.080603,0.478328,0.058623,0.236732,0.440471,0.787037,0.686082,1.251305,0.842470,3.038580,4.226907,1.299226,1.602293,0.637399,0.813916,-0.290294,0.649412,0.434581,0.137448,0.136174,2.998198,0.473083,2.434984,0.623410,4.691892,7.975340,2.089287,2.831997,1.805970,1.430719,-0.191422,0.687411,1.463207,1.251768,0.410564,1.228587,0.524942,1.290724,0.807738,3.076553,3.943283,1.342669,1.710006,0.969948,0.950526,-0.216343,0.585017,0.498503,0.451333,4
0.004133,0.000100,0.004106,0.000108,0.009109,0.001722,0.003887,0.002777,774.000000,0.805518,0.971142,0.670130,1.000000,107.396970,0.827783,41.208924,24.419228,47.923127,0.046682,3.285501,0.063314,1.698392,0.462937,9.584454,3.710730,2.069750,3.343547,1.251999,1.464812,-0.022877,0.273833,0.002991,0.006471,0.048474,2.983557,0.267158,2.117423,0.494452,9.853513,5.156419,2.212079,3.347379,1.253291,1.397109,-0.074170,0.477186,0.176519,0.144020,0.113129,1.272395,0.145547,0.746123,0.630505,7.541421,1.704617,1.683818,2.513682,0.588442,1.098372,-0.012313,0.175152,0.002071,0.005239,0.048013,3.253756,0.077356,1.668814,0.471586,9.621035,3.737855,2.068736,3.331932,1.273135,1.465573,-0.025997,0.291344,0.000561,0.006326,0.114829,1.256840,0.150972,0.743140,0.635459,7.545749,1.698922,1.681798,2.505676,0.590784,1.096879,-0.012864,0.178805,0.002112,0.002240,1
0.005485,0.003515,0.004748,0.002362,0.015899,0.010078,0.006629,0.008330,2045.000000,0.743518,0.808620,0.629231,1.000000,262.651800,0.369693,68.609874,45.880483,79.313110,0.726376,0.344769,0.695383,0.554756,0.929384,2.449381,1.917854,0.702218,0.829665,0.314956,0.467739,-0.399308,0.583866,0.053335,0.037930,0.085520,1.266029,0.825797,3.638829,0.673238,5.642857,13.268962,2.343424,3.022090,0.695486,1.125054,-0.291417,0.802080,0.112676,0.315952,0.822201,0.167549,0.636907,0.231577,0.957127,2.218963,0.755322,0.460022,0.540448,0.157828,0.318437,-0.329100,0.439781,0.062827,0.026909,0.734314,0.481965,0.572379,0.510999,0.921310,2.430970,1.758917,0.677844,0.816632,0.439593,0.513209,-0.353881,0.546668,0.064708,0.056896,0.809468,0.232514,0.511416,0.239183,0.949128,2.225630,0.719237,0.481280,0.575767,0.217695,0.366373,-0.258623,0.399038,0.115981,0.061105,3
0.004531,0.001094,0.005717,0.003761,0.009045,0.001774,0.004140,0.003044,682.000000,0.833172,0.920378,0.640977,1.000000,106.568540,0.740668,40.546237,22.422623,69.957775,0.462421,0.867958,0.515313,1.030993,0.827056,2.720070,1.842414,1.125853,1.344590,0.684930,0.863434,-0.141788,0.489031,0.045531,0.040739,0.039433,2.968310,0.402673,2.488085,0.518462,10.253521,6.967417,2.372088,3.502253,1.361486,1.426049,-0.094861,0.543201,0.156975,0.143116,0.598751,0.842646,0.423291,0.752612,0.878726,2.583813,2.077815,0.928439,1.163305,0.735426,0.706231,-0.176442,0.453438,0.166497,0.078518,0.436157,1.253036,0.346336,1.138947,0.786666,2.698381,1.510240,1.130561,1.315532,0.947635,1.001005,-0.055530,0.330479,0.058284,0.020339,0.565967,1.065617,0.296016,0.795103,0.859983,2.603674,1.957537,0.973131,1.231173,0.913360,0.786569,-0.112346,0.376999,0.262869,0.259298,3
0.010869,0.006017,0.006981,0.004460,0.009945,0.001997,0.004331,0.003305,618.000000,0.852817,0.970173,0.635802,1.000000,99.154329,0.774210,38.982413,20.356981,-60.820623,0.152908,1.935547,0.488421,1.926743,0.667283,4.154297,5.607052,1.924173,2.596565,1.200375,1.250449,-0.171821,0.626489,0.458186,0.114452,0.064789,3.416016,0.274230,2.350704,0.486592,11.037109,5.996670,2.169408,3.155706,1.476742,1.470913,-0.091691,0.513118,0.215273,0.025590,0.467007,0.854412,0.511962,0.872870,0.834063,2.836519,2.646718,1.182358,1.510703,0.685374,0.846497,-0.176896,0.506229,0.179958,0.099905,0.140289,2.851351,0.289769,2.052877,0.647163,4.265766,5.114053,1.923758,2.667864,1.833252,1.375699,-0.162240,0.622137,1.920214,1.233235,0.431219,1.145701,0.366263,0.901225,0.808629,2.867853,2.469619,1.226517,1.596950,0.901386,0.940677,-0.118530,0.429464,0.807705,0.458814,3
0.007108,0.004326,0.006176,0.003290,0.010681,0.002499,0.004799,0.003839,575.000000,0.891954,0.945724,0.608466,1.000000,98.325902,0.732407,40.646015,18.377145,29.903218,0.329148,1.601215,0.625033,1.747873,0.749344,3.722672,6.487867,1.618914,1.999212,1.157669,1.106868,-0.334471,0.771096,0.112155,0.204290,0.050665,2.886640,0.392110,2.313122,0.527780,10.380567,6.604157,2.314347,3.376397,1.341802,1.417371,-0.105209,0.560697,0.101035,0.092133,0.319062,1.137983,0.534069,1.219395,0.784125,3.260411,3.746034,1.501693,1.943768,0.847585,0.992589,-0.197570,0.591040,0.180504,0.165316,0.280584,2.703620,0.402651,1.771688,0.700344,3.794118,5.819603,1.693405,2.151564,1.896875,1.292802,-0.216959,0.681043,0.450845,0.262728,0.297353,1.512336,0.394625,1.235501,0.761167,3.289764,3.479292,1.531350,2.028536,1.114874,1.083873,-0.141275,0.520159,0.402551,0.184162,3
