%
@relation HK2_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
-3.0703,-1.5578,-3.3628,-1.8501,-5.1224,-2.4314,-7.3978,-2.892,-6.0851,-2.9651,-2.751,-2.6189,-3.8229,-2.7715,-5.9565,-4.0395,-2.4987,-5.8246,-5.958,-3.2672,-5.4037,2.6999,-3.9825,-1.5258,-1.5734,Garbage
-3.0703,-1.5578,-3.3628,-1.8501,-5.1224,-2.4314,-7.3978,-2.892,-6.0851,-2.9651,-2.751,-2.6189,-3.8229,-2.7715,-5.9565,-4.0395,-2.4987,-5.8246,-5.958,-3.2672,-5.4037,2.6999,-3.9825,-1.5258,-1.5734,Garbage
-3.0703,-1.5578,-3.3628,-1.8501,-5.1224,-2.4314,-7.3978,-2.892,-6.0851,-2.9651,-2.751,-2.6189,-3.8229,-2.7715,-5.9565,-4.0395,-2.4987,-5.8246,-5.958,-3.2672,-5.4037,2.6999,-3.9825,-1.5258,-1.5734,Garbage
-3.0703,-1.5578,-3.3628,-1.8501,-5.1224,-2.4314,-7.3978,-2.892,-6.0851,-2.9651,-2.751,-2.6189,-3.8229,-2.7715,-5.9565,-4.0395,-2.4987,-5.8246,-5.958,-3.2672,-5.4037,2.6999,-3.9825,-1.5258,-1.5734,Garbage
-0.050403,-0.20495,0.54125,1.8601,2.209,3.3074,0.66742,0.7707,1.6635,2.9141,-1.2366,1.4973,0.55849,1.9295,-0.45213,0.12164,1.9428,1.2037,1.4865,1.0066,1.2786,-0.052386,0.59744,1.5151,3.0157,Garbage
-0.58565,-0.99854,-0.23923,0.83581,1.0934,0.87579,0.58129,0.30577,0.74524,1.0275,-0.90715,0.8135,0.41624,0.55238,-0.20414,-0.38553,0.64483,0.81414,1.0845,0.37546,0.81121,0.11165,0.45085,0.34919,0.58888,HitMain2
-0.57578,-0.96976,-0.35784,0.36144,1.2782,1.2597,0.52829,0.45319,0.74655,1.2989,-0.80151,0.3195,0.72805,1.5166,0.22795,-0.23132,1.4602,1.0025,0.99464,0.36403,0.69385,-0.53169,0.74583,-1.3747,2.0756,HitMain2
-0.58565,-0.99854,-0.23923,0.83581,1.0934,0.87579,0.58129,0.30577,0.74524,1.0275,-0.90715,0.8135,0.41624,0.55238,-0.20414,-0.38553,0.64483,0.81414,1.0845,0.37546,0.81121,0.11165,0.45085,0.34919,0.58888,HitMain2
-0.32954,-0.50649,0.15586,1.2867,0.42814,0.70718,0.38032,-0.61275,0.4131,0.48475,-0.33829,-0.89523,1.0416,1.6155,0.90589,-0.020085,1.7046,1.0232,0.58631,-0.906,-0.51953,-1.3793,0.99008,1.401,-0.95354,HitMain2
-0.86149,-0.97387,-0.82005,-0.50911,-0.34969,-0.78794,0.3207,-0.52203,-0.2108,-0.72901,-0.30735,0.26891,0.70775,1.3618,0.41756,-0.29315,1.2155,0.92038,0.8195,0.62928,0.74517,-0.57448,0.74957,-0.21989,-0.088846,HitMain2
