@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.008865,0.008341,0.007901,0.007954,0.015806,0.004920,0.006996,0.006551,1997.000000,0.847978,0.867884,0.587008,1.000000,209.137080,0.568306,71.952470,38.137068,-34.735979,0.615799,0.863762,0.705015,1.330653,0.872911,2.845008,4.932955,0.976921,1.218137,0.745301,0.727647,-0.293687,0.592563,0.131797,0.142140,0.066909,1.527303,0.607478,2.004965,0.614169,8.579702,6.245854,2.294216,3.069720,0.723941,1.178314,-0.168736,0.657780,0.052230,0.296366,0.678349,0.676586,0.759562,1.411678,0.899487,2.776651,4.951096,0.867277,1.076721,0.602384,0.613709,-0.336127,0.595749,0.038772,0.047245,0.596168,1.323113,0.555450,1.305574,0.855379,2.853774,4.565882,1.019533,1.291683,1.133765,0.811680,-0.199846,0.508645,0.243163,0.321537,0.657121,0.967246,0.665831,1.452543,0.883633,2.800101,4.821428,0.909959,1.148293,0.852885,0.691270,-0.262362,0.543863,0.097988,0.163231,4
0.009772,0.007674,0.008124,0.008775,0.015503,0.004519,0.004173,0.004802,857.000000,0.691654,0.982798,0.747167,1.000000,109.154330,0.887539,38.951555,28.131956,27.371285,0.512167,1.036649,0.571678,0.454406,0.841427,2.764398,2.834544,1.104458,1.340320,0.859016,0.841585,-0.189020,0.532019,0.120389,0.149323,0.064229,2.850785,0.461362,2.690680,0.538664,11.256545,7.732614,2.257258,3.165993,1.349840,1.417220,-0.126207,0.589623,0.024701,0.354426,0.608306,1.066754,0.673043,1.631289,0.872797,2.853338,5.458595,0.997654,1.240008,0.930139,0.738926,-0.232713,0.528110,0.095515,0.059661,0.495275,1.481534,0.358685,0.326638,0.820507,2.742898,2.389864,1.104167,1.354909,1.215665,0.933589,-0.108243,0.424717,0.184290,0.234656,0.581147,1.417989,0.575235,1.668878,0.852836,2.874958,5.258580,1.045067,1.307217,1.217564,0.826751,-0.170247,0.465211,0.316386,0.659787,4
0.011676,0.009136,0.009060,0.008467,0.010672,0.002233,0.004591,0.003621,685.000000,0.691426,0.975783,0.764509,1.000000,98.426407,0.870757,34.914334,25.223755,-30.284012,0.328523,0.990017,0.789413,2.159534,0.802604,3.695508,8.211777,1.627101,1.975167,0.752340,0.930594,-0.362124,0.775977,0.182290,0.319150,0.060423,2.377704,0.471091,2.182879,0.561955,10.860233,6.609417,2.290572,3.215730,1.153386,1.334228,-0.119155,0.578825,0.115246,0.120983,0.566488,0.701616,0.795314,1.687038,0.878384,3.048102,6.137483,1.122413,1.357443,0.603151,0.697485,-0.399622,0.712833,0.087321,0.039849,0.282929,1.950459,0.596655,2.078660,0.733596,3.752294,7.452403,1.700178,2.154246,1.403673,1.173075,-0.246139,0.692349,0.974046,0.521878,0.551583,1.163185,0.670873,1.713920,0.855034,3.067008,5.872530,1.146121,1.423162,0.988285,0.806135,-0.325733,0.670987,0.125922,0.287498,4
0.008747,0.007166,0.007911,0.008042,0.015902,0.012420,0.005857,0.008431,1150.000000,0.836998,0.817342,0.570437,0.000000,160.610170,0.553312,56.120740,30.709609,-26.307744,0.508501,1.102823,0.484874,0.980745,0.841703,2.838710,3.153421,1.138050,1.438103,0.918408,0.848459,-0.191791,0.525314,0.857541,0.834664,0.136068,2.224798,0.639084,3.074516,0.683269,4.698589,10.103708,2.065705,2.739687,1.464457,1.278611,-0.198794,0.674055,0.657370,0.717931,0.611896,1.072248,0.623086,1.423160,0.873667,2.838172,4.617296,0.998707,1.261795,0.936663,0.737320,-0.246609,0.548280,0.123123,0.502898,0.460933,1.540691,0.265802,0.854326,0.803364,2.847269,2.611010,1.189463,1.544997,1.232462,0.986635,-0.087800,0.376943,1.210279,0.442701,0.576660,1.555685,0.469903,1.469453,0.847305,2.865982,4.313582,1.059286,1.358256,1.329933,0.851095,-0.155204,0.454382,0.071137,0.478013,4
0.016770,0.010922,0.008669,0.007107,0.010789,0.002489,0.003813,0.003070,700.000000,0.588732,0.957592,0.686275,1.000000,100.568540,0.852687,33.498766,27.077990,23.029531,0.150897,2.060557,0.645255,2.731097,0.676233,4.725041,9.403939,2.098239,2.771294,1.310958,1.279449,-0.249107,0.746278,0.999164,0.691702,0.075498,2.405892,0.362687,1.864787,0.568530,9.842880,5.143890,2.168553,3.088580,1.181809,1.368817,-0.080603,0.478328,0.058623,0.236732,0.483717,0.703208,0.677870,1.091217,0.856265,2.898662,3.662771,1.194628,1.475543,0.580030,0.766692,-0.275439,0.613377,0.458349,0.118364,0.136174,2.998198,0.473083,2.434984,0.623410,4.691892,7.975340,2.089287,2.831997,1.805970,1.430719,-0.191422,0.687411,1.463207,1.251768,0.455995,1.068867,0.523678,1.120760,0.826673,2.928493,3.419089,1.234660,1.565881,0.863436,0.887479,-0.208963,0.553993,0.469234,0.360505,4
0.004133,0.000100,0.004101,0.000107,0.009109,0.001722,0.003648,0.002644,774.000000,0.805518,0.971142,0.670130,1.000000,107.396970,0.827783,41.208924,24.419228,47.923127,0.046682,3.285501,0.063314,1.698392,0.462937,9.584454,3.710730,2.069750,3.343547,1.251999,1.464812,-0.022877,0.273833,0.002991,0.006471,0.048474,2.983557,0.267158,2.117423,0.494452,9.853513,5.156419,2.212079,3.347379,1.253291,1.397109,-0.074170,0.477186,0.176519,0.144020,0.115310,1.249513,0.143053,0.731169,0.634184,7.477848,1.665283,1.671626,2.493748,0.581720,1.093204,-0.011739,0.170444,0.002146,0.004167,0.048013,3.253756,0.077356,1.668814,0.471586,9.621035,3.737855,2.068736,3.331932,1.273135,1.465573,-0.025997,0.291344,0.000561,0.006326,0.115497,1.235672,0.153703,0.736086,0.636116,7.479825,1.680588,1.676872,2.493610,0.576951,1.087879,-0.012449,0.175642,0.002208,0.001681,1
0.005485,0.003515,0.004836,0.002455,0.015899,0.010078,0.007087,0.008593,2045.000000,0.743518,0.808620,0.629231,1.000000,262.651800,0.369693,68.609874,45.880483,79.313110,0.726376,0.344769,0.695383,0.554756,0.929384,2.449381,1.917854,0.702218,0.829665,0.314956,0.467739,-0.399308,0.583866,0.053335,0.037930,0.085520,1.266029,0.825797,3.638829,0.673238,5.642857,13.268962,2.343424,3.022090,0.695486,1.125054,-0.291417,0.802080,0.112676,0.315952,0.805612,0.184597,0.635631,0.254044,0.952887,2.241397,0.828630,0.495805,0.584336,0.172843,0.341965,-0.324770,0.451655,0.059518,0.039881,0.734314,0.481965,0.572379,0.510999,0.921310,2.430970,1.758917,0.677844,0.816632,0.439593,0.513209,-0.353881,0.546668,0.064708,0.056896,0.791443,0.256979,0.509405,0.263110,0.943971,2.249350,0.790608,0.519207,0.623455,0.238967,0.393950,-0.253883,0.409489,0.153532,0.063723,3
0.004531,0.001094,0.005716,0.003733,0.009045,0.001774,0.004135,0.003046,682.000000,0.833172,0.920378,0.640977,1.000000,106.568540,0.740668,40.546237,22.422623,69.957775,0.462421,0.867958,0.515313,1.030993,0.827056,2.720070,1.842414,1.125853,1.344590,0.684930,0.863434,-0.141788,0.489031,0.045531,0.040739,0.039433,2.968310,0.402673,2.488085,0.518462,10.253521,6.967417,2.372088,3.502253,1.361486,1.426049,-0.094861,0.543201,0.156975,0.143116,0.599444,0.824569,0.428807,0.739299,0.879290,2.579704,2.061231,0.925562,1.159268,0.719490,0.703240,-0.176370,0.452645,0.163110,0.073363,0.436157,1.253036,0.346336,1.138947,0.786666,2.698381,1.510240,1.130561,1.315532,0.947635,1.001005,-0.055530,0.330479,0.058284,0.020339,0.565606,1.057718,0.292317,0.780732,0.860150,2.599475,1.927905,0.971465,1.228289,0.906615,0.785486,-0.110808,0.373933,0.257661,0.257233,3
0.010869,0.006017,0.007016,0.004473,0.009945,0.001997,0.004361,0.003312,618.000000,0.852817,0.970173,0.635802,1.000000,99.154329,0.774210,38.982413,20.356981,-60.820623,0.152908,1.935547,0.488421,1.926743,0.667283,4.154297,5.607052,1.924173,2.596565,1.200375,1.250449,-0.171821,0.626489,0.458186,0.114452,0.064789,3.416016,0.274230,2.350704,0.486592,11.037109,5.996670,2.169408,3.155706,1.476742,1.470913,-0.091691,0.513118,0.215273,0.025590,0.463736,0.877135,0.506159,0.885534,0.831954,2.846314,2.674840,1.190033,1.523432,0.702277,0.854922,-0.172987,0.502874,0.179295,0.079158,0.140289,2.851351,0.289769,2.052877,0.647163,4.265766,5.114053,1.923758,2.667864,1.833252,1.375699,-0.162240,0.622137,1.920214,1.233235,0.426010,1.174464,0.363638,0.920086,0.805016,2.885002,2.516290,1.239454,1.616298,0.919852,0.952275,-0.117574,0.430257,0.796016,0.445633,3
0.007108,0.004326,0.006197,0.003288,0.010681,0.002499,0.004756,0.003824,575.000000,0.891954,0.945724,0.608466,1.000000,98.325902,0.732407,40.646015,18.377145,29.903218,0.329148,1.601215,0.625033,1.747873,0.749344,3.722672,6.487867,1.618914,1.999212,1.157669,1.106868,-0.334471,0.771096,0.112155,0.204290,0.050665,2.886640,0.392110,2.313122,0.527780,10.380567,6.604157,2.314347,3.376397,1.341802,1.417371,-0.105209,0.560697,0.101035,0.092133,0.305502,1.146390,0.530468,1.215811,0.780722,3.290801,3.735415,1.525257,1.976907,0.848280,0.999480,-0.193965,0.590645,0.177706,0.168063,0.280584,2.703620,0.402651,1.771688,0.700344,3.794118,5.819603,1.693405,2.151564,1.896875,1.292802,-0.216959,0.681043,0.450845,0.262728,0.285004,1.512410,0.395480,1.239640,0.756841,3.321096,3.485832,1.553183,2.059815,1.104634,1.090897,-0.140265,0.521992,0.381084,0.163146,3
