%
@relation WildDetailed500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.16093,-0.58103,-0.037001,-0.71669,-0.4494,-1.1841,0.57537,0.18009,-0.097369,-1.0711,0.19377,-0.12216,0.8677,1.4533,0.58967,0.022857,1.5337,0.76158,0.68271,0.060922,0.39087,-0.61577,0.75323,0.48053,-0.74829,3
0.28814,0.39259,0.036092,-0.16329,-0.41555,-1.0208,0.72544,1.7057,-0.0942,-1.0232,0.50536,0.17139,0.55498,0.53721,0.73495,-0.55201,0.055495,0.46789,0.31734,0.89805,0.61754,-0.39137,0.61773,-0.90155,0.071953,1
-1.0902,-1.2506,-1.1914,-1.3506,0.44284,2.0059,0.21298,-0.94406,0.1847,1.0174,-0.60434,1.3868,-0.51254,-0.70039,-0.2076,0.77863,-0.7028,0.34265,0.85849,0.99152,1.1854,1.1602,-0.42443,-0.80779,-0.7709,9
-0.79348,-0.87877,-0.54968,0.23247,0.082776,-0.60055,0.30078,-0.11815,0.12766,-0.26377,-0.36882,0.48212,0.80662,2.1756,0.31625,0.055681,2.088,1.0083,0.8699,0.65705,0.84153,-0.69553,0.82544,0.090201,1.4204,7
-0.42911,-0.48933,-0.68042,-0.74844,-0.10014,-0.84214,0.561,0.11127,0.14139,-0.61957,0.92828,-0.12825,0.50637,0.10317,0.69167,-0.84837,-0.19172,0.13571,0.077524,0.23329,0.43267,-0.039244,0.35288,-0.44123,-0.19895,1
0.346,0.50188,0.53058,0.32886,3.1909,7.5183,0.65519,0.57011,2.3293,5.6413,0.55892,-0.82026,0.9462,0.45317,0.90183,2.3843,0.14005,0.53809,0.01708,-0.80369,-0.36324,-1.3751,0.93729,0.41385,-0.99093,8
1.003,1.6916,0.67437,0.65319,-0.66688,-0.97144,0.26566,-1.1505,-0.36254,-1.1094,0.19576,0.39032,0.43433,-0.38312,0.39235,-0.6902,0.055641,0.42325,0.45235,0.64834,0.79812,0.025488,0.4222,1.5554,0.51372,3
0.44005,-0.12752,0.49455,-0.39577,0.056851,-0.63288,0.62326,0.16862,0.25337,-0.4297,0.12283,-0.7495,0.65176,-0.48929,0.81871,1.7459,-0.36019,0.51691,0.2756,-0.78716,-0.32578,-0.62682,0.67383,-0.59835,-0.20441,2
1.2486,0.67525,1.1558,0.049899,-0.081414,-0.49847,0.3838,-0.24433,0.066381,-0.42492,-0.83533,0.49604,0.65804,0.81301,0.17946,0.50263,1.0402,0.9701,1.0454,0.38085,0.742,-0.2302,0.65153,-0.29663,0.89559,3
0.866,1.8938,1.0556,0.86298,0.3269,0.55806,0.55302,-0.20992,0.56608,0.31541,0.96858,-0.69138,0.32091,-1.1486,0.91155,1.9624,-0.95787,0.025335,-0.16926,-0.528,-0.13504,-0.20766,0.38215,0.44332,4.8853,3
-0.75356,-0.8235,-0.57473,0.1032,0.33842,0.54616,0.47,-0.26727,0.26288,0.25956,0.27509,-0.59809,0.90357,0.85188,0.83464,-0.31489,0.91913,0.71998,0.34221,-0.45836,-0.039852,-1.1539,0.8966,0.79496,-0.045036,6
-0.83916,-1.1702,-0.70616,-0.43772,0.49109,0.14974,0.36943,-0.3361,0.40128,0.32179,-0.68096,0.5211,0.84406,2.6247,0.1336,1.8245,2.4251,1.1407,1.0726,0.32204,0.71808,-0.71471,0.85851,-0.27452,-0.23267,5
1.8553,-0.37626,1.9173,-0.098656,0.7597,-0.04251,0.59932,0.34069,0.86295,0.4622,0.24504,-0.21231,0.83688,1.0898,0.67175,0.17664,1.2,0.65675,0.56117,0.033861,0.33264,-0.61227,0.72395,0.57042,-0.81479,4
0.91168,0.46168,0.89227,-0.081646,1.006,0.41685,0.68393,0.18009,1.0119,0.80204,0.80832,-0.43542,0.54016,-0.34537,0.82872,-0.024087,-0.29799,0.29594,0.18062,-0.14247,0.1706,-0.31663,0.50905,-0.71698,0.76051,3
0.016129,-0.25943,0.012071,-0.45927,0.29017,-0.39979,0.43648,-0.20992,0.33789,-0.062733,2.1577,-0.33026,0.61521,0.038749,0.81974,0.046661,0.014034,0.18531,-0.035149,0.052404,0.24974,-0.42702,0.55003,0.22522,0.46022,4
1.07,0.67776,0.81987,0.052167,-0.21824,-0.71794,0.50832,-0.58846,-0.012853,-0.69616,0.42438,-0.61663,0.38882,-0.82382,0.8325,-0.33891,-0.77011,0.2152,0.081959,-0.4989,-0.068541,-0.19613,0.43087,0.94712,-0.67256,3
-0.49102,-0.64762,0.324,3.1162,0.57463,-0.14119,0.51949,0.23745,0.5122,0.26116,-0.19309,-0.24701,0.90708,1.6033,0.52693,-0.15628,1.6064,0.91878,0.64265,-0.29701,0.18527,-1.0423,0.90699,6.026,6.9958,6
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
-0.58237,-0.85365,-0.32971,0.23134,0.99662,1.4462,0.58814,-0.26727,1.0161,1.2344,0.83702,-0.84386,0.99763,0.97812,1.1805,0.02328,1.1069,0.69602,0.24348,-0.46746,-0.24275,-1.744,1.0512,-0.69837,2.4016,6
-1.0851,-1.3888,-1.2247,-1.4878,-0.76266,-1.1331,0.24012,-1.0473,-0.41536,-1.2434,-0.25071,2.6304,-2.2347,-1.132,-0.4929,0.11615,-1.4154,-0.34609,0.58471,2.2243,1.7914,2.0348,-2.1076,-0.93342,-1.2002,9
1.3075,-0.14133,1.6613,0.3867,0.020125,-0.96634,0.60411,0.67334,0.47734,-0.58128,1.0045,-0.96398,0.88251,-0.049909,1.1002,0.39398,0.13353,0.52574,0.13377,-0.82122,-0.44338,-1.2146,0.86466,1.9278,1.5111,6
1.6215,1.4969,1.3408,0.64072,1.0499,0.10381,0.63124,1.006,0.95803,0.77811,-0.66304,0.54943,0.32491,0.083738,0.34281,0.45462,0.11049,0.77301,0.97745,0.84112,0.88584,0.19192,0.39314,-0.55893,0.98507,3
-0.58846,-0.76822,-0.76587,-1.0852,1.055,0.23141,0.80685,0.96012,1.1672,0.75099,0.64125,0.69569,-1.2896,-1.3391,0.11296,-0.28653,-1.4428,-0.5119,0.030382,0.5904,0.87739,1.6291,-1.23,-1.036,-0.75074,9
-0.49508,-0.67651,-0.31187,-0.061234,1.6599,1.1416,0.99045,1.4075,1.819,1.5918,1.5588,-0.86642,0.95404,0.63081,1.0449,0.12455,0.6527,0.45062,0.018431,-0.69375,-0.30783,-1.2572,0.89142,-0.068214,0.46116,4
0.79394,-0.089827,1.0247,0.26876,1.2112,0.67376,0.77971,1.0404,0.93373,1.0015,-0.58578,0.30404,0.73543,1.3832,0.46836,0.87325,1.3734,0.99204,0.97253,0.64999,0.68188,-0.42658,0.72908,1.8766,0.34926,4
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
-0.18382,0.2946,0.70079,2.4392,-0.051888,-0.12417,0.23533,-1.1505,0.14984,-0.20314,-0.75008,-0.28101,0.98597,2.1235,0.58297,1.5006,2.3207,1.1878,0.88718,-0.25964,0.19277,-1.2843,1.0162,0.99188,-0.59117,5
0.35547,0.081028,0.12737,-0.37876,-0.26145,-0.94592,0.49714,-0.22139,0.0072198,-0.79189,-0.57238,0.34715,0.52754,0.61004,0.40629,-0.014895,0.33078,0.7973,0.82923,0.59566,0.76734,-0.15665,0.59566,0.566,0.493,3
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
0.71849,0.38254,0.67917,-0.14855,1.7362,1.8086,0.76056,0.99453,1.089,1.7913,-0.49934,0.61365,0.25748,0.18503,0.19278,-0.039953,-0.059646,0.61978,0.79006,0.62526,0.86419,0.33162,0.28955,-1.0126,0.086836,1
0.87852,1.5747,1.3967,1.5672,0.20736,-0.4134,0.76535,0.44393,0.39177,-0.27494,0.50372,-0.80724,0.72461,-0.24829,0.88393,2.2435,-0.33137,0.42564,0.089049,-0.80399,-0.35723,-0.84584,0.75171,0.08928,0.97471,2
1.4615,2.1627,1.6198,1.1658,0.35643,0.042557,0.50832,-0.026383,0.51326,0.14309,0.64327,-0.65229,0.96043,0.89515,0.97874,2.6483,0.64754,0.54527,0.15641,-0.34838,-0.053758,-1.2672,0.92151,0.75665,-0.32084,2
-0.45719,-0.24812,-0.080582,0.73824,0.8706,1.0702,0.48118,-0.35904,0.72033,0.9616,-1.0839,0.97569,0.64832,1.8026,-0.15398,1.6898,1.766,1.1296,1.2188,0.42645,0.84536,-0.42743,0.76449,1.5835,0.057447,5
0.87987,0.73932,1.0381,0.28124,-0.2384,-0.84725,0.37581,-0.3361,-0.054054,-0.68658,0.24761,-0.55726,0.724,-0.058368,0.86484,0.34371,0.11106,0.62266,0.40513,-0.3291,0.039561,-0.78451,0.76484,0.62329,1.242,4
-0.36313,-0.31847,0.34631,2.2737,0.5631,0.11061,0.56898,0.21451,0.44987,0.2835,-0.072096,-0.25157,0.79538,0.85616,0.61601,0.30912,0.87967,0.89687,0.68279,-0.14271,0.26817,-0.88641,0.86073,0.27477,4.2201,6
1.1519,3.2104,1.5789,2.7919,3.6539,8.5816,0.70787,1.0863,2.1782,6.0721,-0.4319,0.88019,0.84203,2.1739,-0.010297,-0.36847,1.5302,0.78868,0.69064,0.62243,0.93557,-0.52484,0.77205,1.2067,-0.70044,8
-0.4396,-0.48179,-0.10014,0.78927,1.4935,0.96639,0.94894,0.94865,1.4366,1.3509,0.33431,-0.57867,0.93677,1.1454,0.8469,-0.17804,1.166,0.76835,0.39898,-0.40013,-0.01694,-1.1561,0.91036,0.18949,0.93119,6
-0.535,-1.326,-0.67081,-1.4356,1.5194,1.1552,0.92978,0.70776,1.5211,1.4578,-0.4865,3.1264,-2.2429,-0.99481,-0.61159,0.16202,-1.3369,-0.23305,0.76834,2.6341,1.9804,2.0631,-2.2085,-1.0281,-1.0414,9
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
3.058,3.1225,3.2216,1.7452,1.5648,1.3067,1.1373,2.7381,1.8222,1.5583,0.28159,-1.0272,0.91875,0.11977,1.149,1.3208,0.13806,0.67655,0.24071,-0.88976,-0.5195,-1.3682,0.95449,0.99003,2.3332,8
1.089,1.0094,0.92762,0.19845,-0.19591,-0.80641,0.46043,-0.23286,0.058986,-0.66425,-0.021054,-0.3948,0.65063,-0.084084,0.67626,0.51908,-0.17177,0.53497,0.33659,-0.31645,0.11561,-0.52316,0.66951,-0.57735,-0.073483,3
-0.83476,-1.2381,-1.0201,-1.3109,0.65456,0.15825,0.70468,0.030972,0.87562,0.38082,0.087526,1.0521,-0.21972,-0.27197,0.029476,0.029248,-0.54665,0.14651,0.57715,1.0278,1.1229,0.99109,-0.3029,-0.64274,-0.57177,9
0.34092,0.21294,0.19257,-0.38329,-0.15631,-0.60906,0.45723,-0.5311,0.12132,-0.56692,-0.45318,1.066,0.32819,0.66623,0.099626,-0.2041,0.54218,0.70496,0.95459,1.224,1.1774,0.32668,0.30779,0.86643,-0.87771,3
-0.13544,-1.2645,-0.24701,-1.3858,-1.0579,-1.7575,1.3097,-1.8503,-0.37839,-2.1896,-1.0489,4.1584,-1.6882,-0.41861,-0.81574,1.2096,-0.84551,0.23303,1.2815,3.5181,2.3148,1.8926,-1.5871,-1.0808,-0.4139,10
-0.33607,0.81344,0.78932,4.5655,-0.080694,-0.21094,0.37262,-0.23286,-0.0096834,-0.33557,-0.38724,0.07467,0.73147,0.87751,0.43469,-0.015362,1.0286,0.88072,0.78214,0.13985,0.51427,-0.59662,0.76659,0.50724,10.697,6
2.5901,6.2733,2.6482,4.1788,1.0276,0.76393,0.66637,0.63893,0.76153,0.89777,2.1434,-1.1332,0.85012,-0.65426,1.3642,1.0506,-0.45257,0.13825,-0.32925,-0.86019,-0.61909,-1.599,0.90249,3.5184,3.0588,8
-0.92814,-1.3436,-1.0428,-1.4504,0.11446,-0.37767,0.35027,-0.59993,0.27028,-0.18718,-0.922,4.0162,-1.9128,-0.56616,-0.81326,1.013,-1.0182,0.097828,1.1261,3.3002,2.2522,1.9882,-1.8874,-0.87466,-1.1987,9
0.77601,0.84234,1.0162,0.6135,0.59119,0.50532,0.61847,-0.17551,0.7087,0.47815,-0.10492,-0.86862,1.0198,0.95478,1.0264,1.0523,0.90526,0.916,0.44868,-0.72388,-0.32423,-1.4973,1.0309,-1.0506,-0.83532,4
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
-0.76777,-0.58103,-0.26692,1.3835,0.20736,0.17866,0.11559,-0.84082,0.15195,0.1766,-1.0068,-0.11218,1.04,3.3436,0.38594,0.47622,3.4653,1.3139,1.1228,-0.31112,0.20105,-1.1523,1.0114,1.0315,-0.11512,6
2.2745,0.65892,1.6905,0.73257,1.3574,0.17356,1.0048,1.3616,1.4746,0.95202,2.4146,-0.64053,0.53922,-0.53108,1.1268,-1.2869,-0.81094,-0.3251,-0.55682,-0.1158,-0.046313,-0.38623,0.42762,-1.071,-0.69441,1
-0.37667,-0.062189,-0.63135,-0.54545,1.8125,0.90684,1.0447,2.0499,1.7525,1.6237,2.1968,-0.24011,-0.61937,-1.5285,0.58992,-0.87611,-1.4365,-0.67985,-0.45524,-0.16697,0.24715,1.1391,-0.7121,-0.95902,-0.4723,9
0.37881,0.43279,0.66201,0.44907,0.46373,0.35731,0.46521,-0.35904,0.48685,0.34572,0.17832,-0.97586,0.85287,-0.43218,1.016,1.6812,-0.095499,0.65232,0.21446,-0.95874,-0.55571,-1.1535,0.88365,-0.56538,-1.1349,2
-0.35095,-0.56093,-0.060335,0.25402,0.59191,0.42876,0.35825,-0.55405,0.56291,0.53399,-0.62435,-0.77217,1.0482,1.7055,0.83118,1.2381,1.6547,1.1456,0.6997,-0.81343,-0.35629,-1.4634,1.0477,-0.98592,0.61564,5
1.342,0.60615,1.3027,0.12701,0.27577,-0.30962,0.68393,0.2948,0.45727,-0.13772,-0.59767,-0.22848,0.76808,0.72153,0.57263,1.2462,0.72473,0.97271,0.8148,-0.17673,0.26062,-0.74841,0.8336,1.0383,1.3831,3
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
-1.1393,-1.3775,-1.2724,-1.4855,-0.16135,-0.59545,0.32952,-0.57699,0.0082762,-0.51427,-0.13919,2.0859,-2.0077,-1.2168,-0.34065,0.10789,-1.4256,-0.35189,0.47489,1.7976,1.5693,1.9705,-1.9016,-0.83763,-1.3089,9
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
0.81965,-0.072239,0.55289,-0.30051,-0.52141,-1.0905,0.48437,0.076855,-0.16076,-1.0791,0.1252,-0.64562,0.82937,0.28388,0.89033,-0.65352,0.27944,0.55124,0.28554,-0.46765,-0.070367,-0.88435,0.79813,0.043229,-0.53729,3
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
1.5907,2.9856,1.4187,1.5729,0.32546,0.059571,0.63124,0.019501,0.36007,0.026617,-0.27768,0.42878,0.29668,-0.33988,0.3059,0.27201,-0.10218,0.59252,0.72995,0.53885,0.77319,0.1733,0.37741,0.12225,1.4153,3
-0.019396,-0.42274,0.47087,1.1873,2.5701,2.2373,0.83878,1.2469,2.0483,2.8252,-1.0683,-0.22464,0.9917,2.4959,0.31557,0.81239,2.4629,1.3173,1.1021,-0.66481,-0.1183,-1.1339,1.0099,-0.26955,-0.86151,5
0.28205,-0.072239,0.20046,-0.5103,0.62431,-0.31983,0.55142,0.43245,0.75941,0.26275,-0.68613,-0.37799,0.85089,0.899,0.64348,1.1088,0.99025,1.0748,0.88985,-0.34057,0.11118,-0.87594,0.88582,-0.69156,-1.0005,3
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
0.097665,-0.20038,0.17473,-0.34814,0.13607,-0.39979,0.49395,-0.19845,0.23964,-0.23665,-0.24956,0.10042,0.51511,-0.049596,0.51629,0.59248,0.16286,0.71169,0.72455,0.34912,0.59724,-0.16363,0.56813,-0.21687,0.0039448,4
-0.77352,-1.0132,-0.39389,0.63278,0.20736,0.076584,0.42371,-0.63434,0.26922,0.013852,-1.1246,0.51938,0.89264,2.997,0.080689,1.2419,2.9504,1.3491,1.2509,0.19655,0.64963,-0.88811,0.94908,-0.42594,-0.83683,5
-0.59962,-0.1853,0.38405,3.7728,0.11014,0.017037,0.27045,-0.6114,0.11287,-0.0388,-0.74996,-0.001332,0.89861,2.0066,0.29368,0.0093794,2.0245,1.0569,0.92963,-0.29023,0.24263,-0.85801,0.88808,4.5476,2.5753,6
1.4168,1.2619,1.2636,0.30505,-0.014442,-0.48826,0.5163,1.1551,0.37592,-0.38184,-1.1147,1.3352,0.3827,1.0422,-0.0013802,0.43207,0.9512,1.0528,1.3708,1.4473,1.3063,0.21353,0.45338,-0.14374,-0.46778,3
0.84401,0.93279,0.8233,0.2699,0.97286,0.28755,0.94575,1.0634,0.82174,0.57388,-0.13313,-0.22288,0.75788,0.70029,0.55806,0.47924,0.73604,0.82538,0.72139,-0.1927,0.25113,-0.63349,0.76691,0.2383,1.2158,4
0.001919,-0.72676,-0.018813,-0.72349,0.50621,-0.38788,0.54025,0.71923,0.6432,0.1399,0.15286,0.73398,0.68615,1.664,0.34131,-0.061532,1.6781,0.73874,0.82887,1.1782,1.012,-0.13399,0.55165,-0.54051,-0.13301,3
-0.38952,0.027008,-0.67184,-0.48535,1.9033,2.4091,1.008,1.3845,2.1307,2.3577,5.9749,-1.0022,0.4991,-1.5301,1.3545,-1.7364,-1.0969,-1.1921,-1.4411,-0.5919,-0.45763,-0.46609,0.14806,-0.27065,-1.0725,9
1.3836,0.71043,1.2488,0.051033,1.5166,0.97149,0.8308,1.0519,1.3299,1.4083,-0.88649,0.65978,0.49918,0.49604,0.21125,0.52238,0.65693,0.97238,1.1397,0.75206,0.92339,0.008124,0.54353,0.95448,0.99976,3
-0.78536,-1.1564,-0.80465,-1.0478,0.51197,0.20759,0.50513,-0.060796,0.57982,0.33136,0.74293,-0.5058,0.69595,-0.027894,0.75649,-0.058635,0.089478,0.43932,0.26598,-0.40018,0.034661,-0.48208,0.60537,-0.95202,-0.51563,9
