@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute class {1 2 3 4 }
@data
0.004549,0.000179,0.004349,0.000305,0.004447,0.000276,0.010908,0.002063,0.006493,0.001682,0.008629,0.002991,0.004814,0.000461,0.003932,0.000961,0.004351,0.000904,0.107760,0.959789,0.454181,0.845869,0.680534,7.048335,2.546405,1.878344,2.554216,0.481320,0.996984,-0.098680,0.485493,0.006103,0.002238,0.080912,0.982128,0.600124,1.220659,0.666254,8.066612,3.928138,2.093330,2.783068,0.464103,0.990378,-0.165565,0.628640,0.009745,0.011923,4
0.007279,0.003473,0.003477,0.000319,0.005522,0.003204,0.021765,0.007082,0.006420,0.001671,0.014614,0.009434,0.012656,0.007442,0.003445,0.000675,0.008404,0.007195,0.297252,0.557126,0.614988,0.723518,0.837359,3.181390,2.336945,1.458967,1.760469,0.426370,0.778382,-0.292170,0.672664,0.080826,0.071524,0.166245,0.678445,0.743922,1.324683,0.814365,4.212603,4.620289,1.902885,2.254759,0.503112,0.837284,-0.380623,0.808406,0.433615,0.220174,3
0.003574,0.000215,0.003287,0.000194,0.003454,0.000254,0.010069,0.001230,0.006010,0.001190,0.008351,0.002402,0.014934,0.004080,0.004955,0.001765,0.010815,0.006047,0.179648,0.538129,0.577148,0.646430,0.787938,5.159507,2.004195,1.705663,2.084009,0.341977,0.803703,-0.200821,0.612031,0.004382,0.002114,0.083714,0.663004,0.815912,1.828822,0.745621,8.595072,6.533336,2.276497,2.770600,0.377350,0.880752,-0.340219,0.825193,0.034321,0.041162,2
0.030648,0.020149,0.004640,0.001111,0.021072,0.020435,0.017856,0.006724,0.007565,0.002195,0.013927,0.007533,0.009975,0.005003,0.004206,0.001709,0.007780,0.004986,0.160030,1.641356,0.907906,8.921934,0.718537,9.739661,34.003410,2.207091,2.718845,1.101255,1.170001,-0.412995,0.870295,0.043926,0.036995,0.136601,0.464746,0.866858,1.739893,0.821552,4.747458,6.512155,2.061510,2.366095,0.325452,0.730566,-0.453593,0.866664,0.024713,0.028478,4
0.004366,0.000169,0.004133,0.000171,0.004180,0.000197,0.008845,0.001243,0.005690,0.001288,0.006326,0.001857,0.004515,0.000641,0.003149,0.000692,0.003427,0.000892,0.083828,1.517467,0.342015,1.109633,0.619956,5.818777,3.074145,1.942790,2.741737,0.750887,1.129563,-0.085365,0.468315,0.012972,0.009187,0.063080,1.810044,0.464740,1.796552,0.585089,7.347162,4.894763,2.171095,3.098026,0.831759,1.238955,-0.106276,0.548390,0.034186,0.014706,4
0.004451,0.000216,0.004203,0.000184,0.004255,0.000222,0.008650,0.000988,0.005858,0.001351,0.006414,0.001766,0.004067,0.000503,0.003130,0.000625,0.003314,0.000726,0.085607,1.487135,0.432465,1.328269,0.627395,5.504288,3.752555,2.027625,2.816181,0.742748,1.155185,-0.107291,0.523062,0.006408,0.004184,0.105708,1.433962,0.476617,1.498842,0.639164,5.694683,3.989114,1.956717,2.722186,0.733310,1.160292,-0.103103,0.516936,0.009608,0.022958,4
0.012812,0.009691,0.004525,0.000658,0.008772,0.008134,0.013524,0.004639,0.005771,0.001320,0.009663,0.005263,0.008297,0.004668,0.003218,0.000632,0.005800,0.004254,0.277193,0.812005,0.799051,2.021033,0.809840,4.074179,7.269696,1.751168,2.173941,0.611386,0.893646,-0.393372,0.809554,0.371453,0.297804,0.136664,0.818800,0.917765,4.994962,0.734275,6.116648,19.090584,2.304707,2.807631,0.483240,0.967036,-0.419870,0.881201,0.024395,0.042673,4
0.008353,0.003778,0.004375,0.000375,0.006174,0.003266,0.014626,0.004133,0.005592,0.001333,0.009623,0.005467,0.012137,0.005764,0.003508,0.000741,0.007408,0.005876,0.227142,0.905516,0.598388,1.126152,0.785821,3.614389,3.603822,1.688506,2.140292,0.652871,0.949788,-0.261181,0.688930,0.087049,0.098400,0.047587,1.228297,0.831187,3.657144,0.637886,7.100719,13.321270,2.542204,3.283816,0.576735,1.086655,-0.300830,0.829163,0.050153,0.069425,3
0.008490,0.003656,0.004312,0.000422,0.006387,0.003366,0.017959,0.006691,0.005760,0.001623,0.011754,0.007921,0.013050,0.007674,0.003397,0.001029,0.008174,0.007368,0.099330,1.584736,0.724156,2.879182,0.656428,5.408053,9.905007,2.259808,2.993685,0.893959,1.212681,-0.266454,0.775870,0.050624,0.071193,0.142582,0.816106,0.775760,1.819934,0.772993,4.641827,6.459452,2.041075,2.476053,0.555171,0.928523,-0.362288,0.816789,0.053130,0.050976,3
0.005481,0.000910,0.004352,0.000295,0.004880,0.000882,0.017680,0.004597,0.006331,0.001717,0.011607,0.006745,0.017998,0.007868,0.004173,0.001284,0.010699,0.008947,0.167728,0.888630,0.498340,0.886034,0.762193,3.800583,2.654110,1.730428,2.199914,0.597093,0.965182,-0.204418,0.627758,0.028993,0.018774,0.069025,0.920700,0.820197,2.609183,0.713707,7.032653,9.300391,2.379839,2.965108,0.526330,0.979999,-0.327612,0.829047,0.035504,0.063564,2
